model,display_name,n_folds,r2_mean,r2_std,mae_mean,mae_std,rmse_mean,rmse_std,pearson_mean,pearson_std,spearman_mean,spearman_std,source_path,notes
tabpfn_2_6_standalone,TabPFN-2.6 standalone (top-2K features),5,0.3993801778448218,0.10116000974688044,0.6852363333603566,0.03808490704980862,0.893539997924286,0.0668265124096913,0.6426011014370946,0.07121112949696679,0.6121396345706562,0.0376427334310606,data/redesign,outer-fold R² computed from tabpfn_outer_fold{f}.npz
elasticnet_A,ElasticNet [A],5,0.1286549091339111,0.058308901678024834,0.8625356316566467,0.051073701437369015,1.062267280978395,0.06946481527173604,0.39366258382015074,0.122407824549092,0.38740669375087916,0.14173567924852382,outputs/pipeline/baseline_results_classical.csv,feature set: A
elasticnet_A_C_E,ElasticNet [A+C+E],5,0.12736332416534418,0.034228423602376726,0.86263587474823,0.05522947890085122,1.0638097311097516,0.072057905789064,0.38509000932732534,0.06410176343478022,0.3806991045420217,0.06214728552892031,outputs/pipeline/baseline_results_classical.csv,feature set: A+C+E
elasticnet_C,ElasticNet [C],5,-0.00041284561157221915,0.02322263530775361,0.920150351524353,0.051986539912294044,1.138716764663363,0.06625868441137348,0.1694210211260554,0.05918025263555699,0.21242090099331,0.006200949957347565,outputs/pipeline/baseline_results_classical.csv,feature set: C
pls_A,PLS [A],5,0.26924970342001026,0.08470873661242427,0.7809457128156663,0.06431783748250844,0.9730563949209927,0.09705227724475916,0.5273336077682138,0.09760045422550595,0.5110051447761453,0.10053339191782201,outputs/pipeline/baseline_results_classical.csv,feature set: A
pls_A_C_E,PLS [A+C+E],5,0.2694319957546639,0.08472364401753085,0.7808473715268743,0.06427629518327199,0.9729336498766277,0.09705145814020884,0.5275293602692644,0.09758293293998556,0.5109771729866622,0.10139177273147085,outputs/pipeline/baseline_results_classical.csv,feature set: A+C+E
pls_C,PLS [C],5,-0.012045945832232039,0.09897281130521221,0.9119469153833026,0.03309918947343082,1.1425557356263958,0.04912507871084917,0.16484485752777028,0.1325761825573534,0.18028421699156677,0.05631313242462917,outputs/pipeline/baseline_results_classical.csv,feature set: C
randomforest_A,RandomForest [A],5,0.3075824737548828,0.06690162229145985,0.7483020901679993,0.040867404258872,0.9459450287442633,0.06223697159121776,0.5677933040352855,0.06931363567974236,0.5126315748051894,0.04916972777815273,outputs/pipeline/baseline_results_classical.csv,feature set: A
randomforest_A_C_E,RandomForest [A+C+E],5,0.3135653495788574,0.06697442016688253,0.746417760848999,0.04060907987741923,0.9417871504394506,0.061508388020962555,0.5748524157663268,0.06903600826063341,0.5183229649703344,0.05259517762117123,outputs/pipeline/baseline_results_classical.csv,feature set: A+C+E
randomforest_C,RandomForest [C],5,0.036660361289978016,0.07735534937998872,0.8932322144508362,0.07677161807362487,1.1175230353202912,0.09144787105767696,0.21827757252715396,0.12975370996317293,0.22051732398185794,0.1248997232322621,outputs/pipeline/baseline_results_classical.csv,feature set: C
ridge_A,Ridge [A],5,0.26953222751617434,0.08146477793297616,0.7799817204475403,0.06295156408773779,0.9727535632101139,0.09327419532690441,0.5284657862413041,0.09272508919934996,0.509044496132318,0.10480236867681975,outputs/pipeline/baseline_results_classical.csv,feature set: A
ridge_A_C_E,Ridge [A+C+E],5,0.26968826055526735,0.08148224426416947,0.779879879951477,0.06291942900332709,0.9726472156873953,0.09326165916907282,0.5286364331277582,0.0927142953067289,0.5087830107286405,0.10502396378654445,outputs/pipeline/baseline_results_classical.csv,feature set: A+C+E
